GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RadiusCenterKpc,RadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,CalibrationStatus,ReadoutStatus,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR
NGC2403,A,2.98,0.142789,48,3.009723332,0.029723332,0.409418307,0.307856073,0.157948861,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0297449441104,0.0429673969601,0.0361821442929
NGC2403,A,3.08,0.14758,49,3.071779484,0.008220516,0.393570370,0.334660043,0.172653883,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0159491134778,0.0290119316868,0.0223925453935
NGC2403,A,3.19,0.152851,51,3.195891786,0.005891786,0.365303973,0.382467631,0.199301806,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0324834053174,0.0453921458616,0.038941532818
NGC2403,A,3.29,0.157643,53,3.320004088,0.030004088,0.361222313,0.389371033,0.203195279,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0409322582695,0.0537484178092,0.0474047435993
NGC2403,A,3.39,0.162434,54,3.382060239,0.007939761,0.343023263,0.420151492,0.220698532,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0304609967972,0.0432039597044,0.036948662429
NGC2403,A,3.49,0.167226,56,3.506172542,0.016172542,0.325458326,0.449859462,0.237818317,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.000835890824111,0.0135069829866,0.00734258808351
NGC2403,A,3.59,0.172017,57,3.568228693,0.021771307,0.321958673,0.455778503,0.241256370,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0204865185833,0.00790131321613,0.0139501640036
NGC2403,A,3.69,0.176809,59,3.692340995,0.002340995,0.309186978,0.477379556,0.253880943,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0303075553208,0.0177786942923,0.0237463885876
NGC2403,A,3.79,0.1816,61,3.816453298,0.026453298,0.295772101,0.500068437,0.267274603,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0421535375933,0.0296946164118,0.0355534572097
NGC2403,A,3.9,0.186871,62,3.878509449,0.021490551,0.318120199,0.462270600,0.245037761,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0722248784692,0.0598460220464,0.0655638389648
NGC2403,A,3.99,0.191184,64,4.002621751,0.012621751,0.321040834,0.457330865,0.242159560,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0691821776942,0.0568598735866,0.0624603907063
NGC2403,A,4.47,0.214183,72,4.499070961,0.029070961,0.375216169,0.365702912,0.189894865,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0526552108714,0.0404463643588,0.0455074193381
NGC2403,A,4.97,0.238141,80,4.995520170,0.025520170,0.364675000,0.383531427,0.199901021,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0659144097365,0.0535100493733,0.0580626494889
NGC2403,A,5.47,0.262099,88,5.491969380,0.021969380,0.319985678,0.459115474,0.243198651,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0825889841435,0.0696425345409,0.0737407383229
NGC2403,A,5.96,0.285577,96,5.988418589,0.028418589,0.309609109,0.476665596,0.253461710,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0887490844924,0.0748450949247,0.0785190448151
NGC2403,A,6.46,0.309535,104,6.484867799,0.024867799,0.286400403,0.515918999,0.276714007,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0964691953363,0.0812017895301,0.0844993977407
NGC2403,A,6.96,0.333493,112,6.981317008,0.021317008,0.280961947,0.525117181,0.282223336,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0929375923151,0.0761705567269,0.0791782927493
NGC2403,A,7.45,0.356972,120,7.477766217,0.027766217,0.243910110,0.587783779,0.320392372,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0895939302973,0.0711737448084,0.0739384846742
NGC2403,A,7.95,0.38093,128,7.974215427,0.024215427,0.216052821,0.634899433,0.349845979,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0861013669204,0.0658583438805,0.0684104072861
NGC2403,A,8.45,0.404887,136,8.470664636,0.020664636,0.218554939,0.630667545,0.347173043,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.088364411115,0.066353298166,0.0687354069453
NGC2403,A,8.94,0.428366,144,8.967113846,0.027113846,0.211708254,0.642247496,0.354500240,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0898073229029,0.0660894137361,0.06833150384
NGC2403,A,9.44,0.452324,152,9.463563055,0.023563055,0.204854186,0.653839935,0.361876924,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0836792470455,0.0581691491874,0.0602833014492
NGC2403,A,9.94,0.476282,160,9.960012265,0.020012265,0.178812178,0.697885364,0.390292464,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0712461631166,0.0437929509502,0.0457855145404
NGC2403,A,10.43,0.49976,168,10.456461474,0.026461474,0.165470365,0.720450670,0.405094424,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0638507462517,0.0347732302884,0.0366750998476
NGC2403,A,10.93,0.523718,176,10.952910684,0.022910684,0.149951205,0.746698571,0.422526708,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0654352173765,0.0345958582768,0.036408599733
NGC2403,A,11.43,0.547676,184,11.449359893,0.019359893,0.136603775,0.769273377,0.437708763,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0763637507657,0.0436014641486,0.0453261216601
NGC2403,A,11.92,0.571155,192,11.945809103,0.025809103,0.130575590,0.779468981,0.444624069,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0740419207207,0.0391577102115,0.040794493649
NGC2403,A,12.42,0.595113,200,12.442258312,0.022258312,0.129466453,0.781344889,0.445900444,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0858225942752,0.0489066163188,0.0504669908923
NGC2403,A,12.92,0.61907,208,12.938707521,0.018707521,0.118291938,0.800244596,0.458830258,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0910807522211,0.0519962674967,0.0534821775639
NGC2403,A,13.42,0.643028,216,13.435156731,0.015156731,0.115192992,0.805485912,0.462438876,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0924890490067,0.0507545764926,0.0521579327086
NGC2403,A,13.91,0.666507,224,13.931605940,0.021605940,0.109968108,0.814322875,0.468545843,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0958445174432,0.0512133509688,0.0525354421739
NGC2403,A,14.41,0.690465,232,14.428055150,0.018055150,0.107258927,0.818904973,0.471723725,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0979967555328,0.0505517172267,0.0518024425731
NGC2403,A,14.91,0.714423,240,14.924504359,0.014504359,0.099787040,0.831542342,0.480528742,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.107539169197,0.0572737839663,0.0584593611734
NGC2403,A,15.4,0.737901,248,15.420953569,0.020953569,0.094436229,0.840592288,0.486871079,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.110548736021,0.0573492236595,0.0584728634296
NGC2403,A,15.9,0.761859,256,15.917402778,0.017402778,0.091033119,0.846348044,0.490920951,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.106954747301,0.0506072811943,0.05167019668
NGC2403,A,16.4,0.785817,264,16.413851988,0.013851988,0.085565983,0.855594733,0.497453640,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.119059909571,0.0594198624055,0.0604247607863
NGC2403,A,16.89,0.809296,272,16.910301197,0.020301197,0.087460695,0.852390165,0.495185928,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.125846925082,0.0625635626095,0.0635099337163
NGC2403,A,17.39,0.833253,280,17.406750407,0.016750407,0.081772292,0.862011087,0.502006091,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.146699869517,0.0798089915044,0.0807025032026
NGC2403,A,17.89,0.857211,288,17.903199616,0.013199616,0.080041542,0.864938344,0.504088307,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.153879853394,0.0831391733807,0.0839811317612
NGC2403,A,18.38,0.88069,296,18.399648825,0.019648825,0.075975862,0.871814719,0.508992766,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.153658029778,0.0790820136214,0.0798769688146
NGC2403,A,18.88,0.904648,304,18.896098035,0.016098035,0.074585407,0.874166426,0.510674336,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.14630356067,0.0677251298912,0.0684750968945
NGC2403,A,19.38,0.928606,312,19.392547244,0.012547244,0.077715516,0.868872403,0.506891945,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.157640629408,0.0757598561821,0.0764754750773
NGC2403,A,19.87,0.952084,320,19.888996454,0.018996454,0.072611337,0.877505215,0.513065451,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.172275835382,0.0879504476171,0.0886420990305
NGC2403,A,20.37,0.976042,328,20.385445663,0.015445663,0.066441830,0.887939840,0.520566806,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.164750279171,0.0779500152613,0.0786185679795
NGC2403,A,20.87,1,336,20.881894873,0.011894873,0.066620603,0.887637477,0.520348830,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.156801500867,0.0676295297098,0.0682769724962
