GalaxyName,Class,RadiusKpc,RadiusFraction,aN_over_a0,VobsKms,VbarKms,Predicted_S_tau_source_v01,ModelVelocity_S_tau1,ModelVelocity_SourceRule,AbsLogResidual_S_tau1,AbsLogResidual_SourceRule,DeltaAbsLogResidual_SourceMinusS1,InterpretationGuardrail
NGC2403,A,0.86,0.0412075,0.836404,74.600000000,51.608743445,1.050000000,66.220366902,66.950948075,0.119152434,0.108180274,-0.010972160,post_freeze_velocity_readout_no_refit
NGC2403,A,0.96,0.045999,0.793012,74.600000000,53.093491597,1.050000000,68.686676938,69.466336205,0.082585258,0.071298243,-0.011287015,post_freeze_velocity_readout_no_refit
NGC2403,A,1.06,0.0507906,0.762512,76.600000000,54.706892619,1.050000000,71.208447478,72.033525221,0.072985621,0.061465438,-0.011520183,post_freeze_velocity_readout_no_refit
NGC2403,A,1.16,0.0555822,0.740421,78.500000000,56.394174788,1.050000000,73.745467660,74.613032303,0.062479087,0.050783437,-0.011695650,post_freeze_velocity_readout_no_refit
NGC2403,A,1.27,0.0608529,0.72371,83.400000000,58.337798210,1.050000000,76.563905885,77.475211268,0.085522546,0.073690279,-0.011832267,post_freeze_velocity_readout_no_refit
NGC2403,A,1.36,0.0651653,0.726599,86.400000000,60.489901223,1.050000000,79.338087523,80.280496838,0.085269366,0.073460963,-0.011808403,post_freeze_velocity_readout_no_refit
NGC2403,A,1.47,0.070436,0.71648,87.400000000,62.449174534,1.050000000,82.091002778,83.073094190,0.062666861,0.050774410,-0.011892451,post_freeze_velocity_readout_no_refit
NGC2403,A,1.57,0.0752276,0.714787,90.300000000,64.462057445,1.050000000,84.768987671,85.784334182,0.063207696,0.051301056,-0.011906640,post_freeze_velocity_readout_no_refit
NGC2403,A,1.67,0.0800192,0.720392,93.300000000,66.743421399,1.050000000,87.659761727,88.705578743,0.062357131,0.050497326,-0.011859805,post_freeze_velocity_readout_no_refit
NGC2403,A,1.77,0.0848107,0.722026,93.300000000,68.790596741,1.050000000,90.315891810,91.392156563,0.032506674,0.020660447,-0.011846226,post_freeze_velocity_readout_no_refit
NGC2403,A,1.87,0.0896023,0.717045,95.200000000,70.462785568,1.050000000,92.613447744,93.720980853,0.027545587,0.015657862,-0.011887724,post_freeze_velocity_readout_no_refit
NGC2403,A,1.97,0.0943939,0.711406,97.200000000,72.037381268,1.050000000,94.802476518,95.940731281,0.024975179,0.013040093,-0.011935086,post_freeze_velocity_readout_no_refit
NGC2403,A,2.08,0.0996646,0.705716,99.100000000,73.724637334,1.050000000,97.147680582,98.318832744,0.019897140,0.007913848,-0.011983292,post_freeze_velocity_readout_no_refit
NGC2403,A,2.18,0.104456,0.703442,98.200000000,75.354331992,1.050000000,99.346508827,100.546117669,0.011607613,0.023610289,0.012002676,post_freeze_velocity_readout_no_refit
NGC2403,A,2.28,0.109248,0.681381,98.200000000,75.845224306,1.050000000,100.507792306,101.740920706,0.023229045,0.035423374,0.012194329,post_freeze_velocity_readout_no_refit
NGC2403,A,2.37,0.11356,0.649427,98.200000000,75.492742366,1.050000000,100.824589271,102.091181616,0.026376052,0.038860136,0.012484084,post_freeze_velocity_readout_no_refit
NGC2403,A,2.47,0.118352,0.616729,97.200000000,75.103761224,1.050000000,101.160485229,102.463321429,0.039937507,0.052734183,0.012796676,post_freeze_velocity_readout_no_refit
NGC2403,A,2.57,0.123143,0.588239,98.200000000,74.818554517,1.050000000,101.571365949,102.909006521,0.033755449,0.046838951,0.013083502,post_freeze_velocity_readout_no_refit
NGC2403,A,2.68,0.128414,0.557796,98.200000000,74.399678427,1.050000000,101.907637592,103.283035550,0.037060674,0.050466922,0.013406248,post_freeze_velocity_readout_no_refit
NGC2403,A,2.78,0.133206,0.532963,98.200000000,74.069038741,1.050000000,102.240609962,103.649188523,0.040322741,0.054005794,0.013683053,post_freeze_velocity_readout_no_refit
NGC2403,A,2.88,0.137997,0.510248,99.100000000,73.765396359,1.050000000,102.581672737,104.022486556,0.034529847,0.048477651,0.013947804,post_freeze_velocity_readout_no_refit
NGC2403,A,2.98,0.142789,0.490706,100.000000000,73.584188519,1.050000000,103.019157463,104.490905910,0.029744780,0.043929857,0.014185077,post_freeze_velocity_readout_no_refit
NGC2403,A,3.08,0.14758,0.475208,102.000000000,73.617860605,1.050000000,103.639857421,105.140957261,0.015949167,0.030329087,0.014379920,post_freeze_velocity_readout_no_refit
NGC2403,A,3.19,0.152851,0.459644,101.000000000,73.683822173,1.050000000,104.334701069,105.867245013,0.032483494,0.047065387,0.014581893,post_freeze_velocity_readout_no_refit
NGC2403,A,3.29,0.157643,0.449888,101.000000000,74.031429474,1.050000000,105.219941913,106.779367535,0.040932327,0.055644203,0.014711876,post_freeze_velocity_readout_no_refit
NGC2403,A,3.39,0.162434,0.441887,103.000000000,74.476833311,1.050000000,106.185743768,107.771189290,0.030460872,0.045281374,0.014820502,post_freeze_velocity_readout_no_refit
NGC2403,A,3.49,0.167226,0.433714,107.000000000,74.865240933,1.050000000,107.089468770,108.700680162,0.000835807,0.015769217,0.014933410,post_freeze_velocity_readout_no_refit
NGC2403,A,3.59,0.172017,0.423408,110.000000000,75.022735554,1.050000000,107.769431003,109.406765775,0.020486319,0.005407633,-0.015078686,post_freeze_velocity_readout_no_refit
NGC2403,A,3.69,0.176809,0.416225,112.000000000,75.412497638,1.050000000,108.656491313,110.318690996,0.030307421,0.015125503,-0.015181918,post_freeze_velocity_readout_no_refit
NGC2403,A,3.79,0.1816,0.406662,114.000000000,75.544358161,1.050000000,109.294349679,110.981849255,0.042153750,0.026831781,-0.015321969,post_freeze_velocity_readout_no_refit
NGC2403,A,3.9,0.186871,0.394391,118.000000000,75.467780542,1.050000000,109.777945521,111.493453770,0.072224976,0.056718746,-0.015506230,post_freeze_velocity_readout_no_refit
NGC2403,A,3.99,0.191184,0.384286,118.000000000,75.349379228,1.050000000,110.112491219,111.850646818,0.069182134,0.053520154,-0.015661980,post_freeze_velocity_readout_no_refit
NGC2403,A,4.47,0.214183,0.33898,118.000000000,74.904261895,1.050000000,111.947417670,113.799575459,0.052655349,0.036245833,-0.016409515,post_freeze_velocity_readout_no_refit
NGC2403,A,4.97,0.238141,0.29798,121.000000000,74.052129612,1.050000000,113.281520970,115.242990538,0.065914489,0.048747685,-0.017166804,post_freeze_velocity_readout_no_refit
NGC2403,A,5.47,0.262099,0.26269,124.000000000,72.942635680,1.050000000,114.170470215,116.231861942,0.082588881,0.064694560,-0.017894322,post_freeze_velocity_readout_no_refit
NGC2403,A,5.96,0.285577,0.230862,125.000000000,71.378067009,1.050000000,114.384348748,116.534662835,0.088749479,0.070124973,-0.018624506,post_freeze_velocity_readout_no_refit
NGC2403,A,6.46,0.309535,0.203514,126.000000000,69.771734965,1.050000000,114.412792901,116.644845797,0.096469008,0.077148095,-0.019320914,post_freeze_velocity_readout_no_refit
NGC2403,A,6.96,0.333493,0.183011,126.000000000,68.676599727,1.050000000,114.817514769,117.124560521,0.092937867,0.073043919,-0.019893948,post_freeze_velocity_readout_no_refit
NGC2403,A,7.45,0.356972,0.166195,126.000000000,67.710119628,1.050000000,115.202155029,117.576756799,0.089593452,0.069190537,-0.020402915,post_freeze_velocity_readout_no_refit
NGC2403,A,7.95,0.38093,0.151756,126.000000000,66.837807041,1.050000000,115.605134432,118.043500802,0.086101536,0.065228700,-0.020872837,post_freeze_velocity_readout_no_refit
NGC2403,A,8.45,0.404887,0.140403,127.000000000,66.279956246,1.050000000,116.259235198,118.758199145,0.088364603,0.067097600,-0.021267002,post_freeze_velocity_readout_no_refit
NGC2403,A,8.94,0.428366,0.131174,128.000000000,65.895864438,1.050000000,117.005697525,119.561189179,0.089807634,0.068201980,-0.021605653,post_freeze_velocity_readout_no_refit
NGC2403,A,9.44,0.452324,0.122839,128.000000000,65.527033734,1.050000000,117.725001753,120.334900154,0.083678853,0.061751574,-0.021927279,post_freeze_velocity_readout_no_refit
NGC2403,A,9.94,0.476282,0.115006,127.000000000,65.060687823,1.050000000,118.266477415,120.926766895,0.071246725,0.049001956,-0.022244769,post_freeze_velocity_readout_no_refit
NGC2403,A,10.43,0.49976,0.109218,127.000000000,64.946421379,1.050000000,119.144422784,121.854322855,0.063850692,0.041360830,-0.022489862,post_freeze_velocity_readout_no_refit
NGC2403,A,10.93,0.523718,0.103577,128.000000000,64.745153100,1.050000000,119.892407852,122.649770590,0.065435525,0.042697364,-0.022738161,post_freeze_velocity_readout_no_refit
NGC2403,A,11.43,0.547676,0.0980472,130.000000000,64.417891925,1.050000000,120.442278181,123.243497494,0.076363832,0.053372398,-0.022991434,post_freeze_velocity_readout_no_refit
NGC2403,A,11.92,0.571155,0.0925759,130.000000000,63.922404132,1.050000000,120.722269597,123.562262870,0.074041836,0.050789269,-0.023252567,post_freeze_velocity_readout_no_refit
NGC2403,A,12.42,0.595113,0.0878556,132.000000000,63.564017337,1.050000000,121.143920461,124.022915618,0.085822658,0.062335571,-0.023487088,post_freeze_velocity_readout_no_refit
NGC2403,A,12.92,0.61907,0.0832886,133.000000000,63.123347107,1.050000000,121.421558375,124.336468939,0.091080684,0.067357778,-0.023722906,post_freeze_velocity_readout_no_refit
NGC2403,A,13.42,0.643028,0.0782643,133.000000000,62.362576518,1.050000000,121.250677027,124.195082052,0.092489015,0.068495557,-0.023993458,post_freeze_velocity_readout_no_refit
NGC2403,A,13.91,0.666507,0.0733586,133.000000000,61.468823805,1.050000000,120.844494810,123.813278360,0.095844576,0.071574517,-0.024270059,post_freeze_velocity_readout_no_refit
NGC2403,A,14.41,0.690465,0.0690836,133.000000000,60.713505087,1.050000000,120.584689765,123.578248999,0.097996803,0.073474578,-0.024522225,post_freeze_velocity_readout_no_refit
NGC2403,A,14.91,0.714423,0.0652084,134.000000000,60.000723746,1.050000000,120.337540346,123.354381176,0.107539170,0.082778439,-0.024760730,post_freeze_velocity_readout_no_refit
NGC2403,A,15.4,0.737901,0.0615487,134.000000000,59.242800406,1.050000000,119.975909974,123.012565452,0.110548828,0.085553292,-0.024995536,post_freeze_velocity_readout_no_refit
NGC2403,A,15.9,0.761859,0.057984,133.000000000,58.427678800,1.050000000,119.509330675,122.563413268,0.106954679,0.081720573,-0.025234106,post_freeze_velocity_readout_no_refit
NGC2403,A,16.4,0.785817,0.0546002,134.000000000,57.581762738,1.050000000,118.959120074,122.027987940,0.119059895,0.093589372,-0.025470522,post_freeze_velocity_readout_no_refit
NGC2403,A,16.89,0.809296,0.0512086,134.000000000,56.591625264,1.050000000,118.154474109,121.232616551,0.125846929,0.100128649,-0.025718280,post_freeze_velocity_readout_no_refit
NGC2403,A,17.39,0.833253,0.0481647,136.000000000,55.690348805,1.050000000,117.443208235,120.530851207,0.146700003,0.120749139,-0.025950864,post_freeze_velocity_readout_no_refit
NGC2403,A,17.89,0.857211,0.0452138,136.000000000,54.727595416,1.050000000,116.602985792,119.696755310,0.153880005,0.127693380,-0.026186625,post_freeze_velocity_readout_no_refit
NGC2403,A,18.38,0.88069,0.0425389,135.000000000,53.806112106,1.050000000,115.771292335,118.869551346,0.153658151,0.127248094,-0.026410058,post_freeze_velocity_readout_no_refit
NGC2403,A,18.88,0.904648,0.0399928,133.000000000,52.875880135,1.050000000,114.898074931,117.999184671,0.146303698,0.119671413,-0.026632284,post_freeze_velocity_readout_no_refit
NGC2403,A,19.38,0.928606,0.0380583,134.000000000,52.259746459,1.050000000,114.456981170,117.566842905,0.157640758,0.130832752,-0.026808006,post_freeze_velocity_readout_no_refit
NGC2403,A,19.87,0.952084,0.0367133,136.000000000,51.972859744,1.050000000,114.477592298,117.602828926,0.172275782,0.145341795,-0.026933987,post_freeze_velocity_readout_no_refit
NGC2403,A,20.37,0.976042,0.035421,135.000000000,51.688220128,1.050000000,114.494218103,117.634518002,0.164750454,0.137692266,-0.027058188,post_freeze_velocity_readout_no_refit
NGC2403,A,20.87,1,0.0342432,134.000000000,51.441591636,1.050000000,114.553089054,117.708663925,0.156801425,0.129627178,-0.027174246,post_freeze_velocity_readout_no_refit
NGC2976,C,0.11,0.0484581,0.17894,6.800000000,8.537200946,0.725000000,14.331530394,12.738089796,0.745539420,0.627674089,-0.117865331,post_freeze_velocity_readout_no_refit
NGC2976,C,0.17,0.0748899,0.194279,9.500000000,11.058679849,0.725000000,18.288412992,16.300236378,0.654975891,0.539887811,-0.115088080,post_freeze_velocity_readout_no_refit
NGC2976,C,0.24,0.105727,0.221246,14.000000000,14.021986307,0.725000000,22.645600711,20.274106750,0.480908274,0.370287213,-0.110621062,post_freeze_velocity_readout_no_refit
NGC2976,C,0.31,0.136564,0.240115,19.800000000,16.601835742,0.725000000,26.414565120,23.716064541,0.288233629,0.180470710,-0.107762920,post_freeze_velocity_readout_no_refit
NGC2976,C,0.38,0.167401,0.252923,26.100000000,18.864796580,0.725000000,29.731934072,26.743471262,0.130286375,0.024355064,-0.105931311,post_freeze_velocity_readout_no_refit
NGC2976,C,0.45,0.198238,0.265058,28.700000000,21.015620381,0.725000000,32.840119062,29.588381925,0.134753787,0.030484659,-0.104269128,post_freeze_velocity_readout_no_refit
NGC2976,C,0.52,0.229075,0.279408,28.700000000,23.194603898,0.725000000,35.899046476,32.405324767,0.223813612,0.121425631,-0.102387981,post_freeze_velocity_readout_no_refit
NGC2976,C,0.59,0.259912,0.295025,31.700000000,25.387577671,0.725000000,38.906997570,35.189157098,0.204857440,0.104421317,-0.100436122,post_freeze_velocity_readout_no_refit
NGC2976,C,0.66,0.290749,0.309738,35.500000000,27.512805200,0.725000000,41.793822575,37.866542797,0.163215847,0.064535250,-0.098680597,post_freeze_velocity_readout_no_refit
NGC2976,C,0.73,0.321586,0.323576,39.400000000,29.574358827,0.725000000,44.572019958,40.447663147,0.123340491,0.026243054,-0.097097437,post_freeze_velocity_readout_no_refit
NGC2976,C,0.8,0.352423,0.336432,42.900000000,31.568896085,0.725000000,47.245079798,42.934129277,0.096476691,0.000795238,-0.095681453,post_freeze_velocity_readout_no_refit
NGC2976,C,0.87,0.38326,0.349447,46.000000000,33.551836015,0.725000000,49.871293741,45.383442867,0.080804165,0.013494053,-0.067310112,post_freeze_velocity_readout_no_refit
NGC2976,C,0.94,0.414097,0.366279,49.100000000,35.705562592,0.725000000,52.627226152,47.973768673,0.069374558,0.023204659,-0.046169899,post_freeze_velocity_readout_no_refit
NGC2976,C,1.01,0.444934,0.392188,49.200000000,38.297792365,0.725000000,55.764672715,50.961280619,0.125246940,0.035172517,-0.090074423,post_freeze_velocity_readout_no_refit
NGC2976,C,1.08,0.475771,0.421425,51.400000000,41.052334282,0.725000000,59.020054390,54.078931360,0.138239119,0.050806499,-0.087432620,post_freeze_velocity_readout_no_refit
NGC2976,C,1.14,0.502203,0.446201,57.200000000,43.399394005,0.725000000,61.771803338,56.719390772,0.076893105,0.008437757,-0.068455348,post_freeze_velocity_readout_no_refit
NGC2976,C,1.21,0.53304,0.481772,63.800000000,46.460000538,0.725000000,65.251596626,60.083907702,0.022497325,0.060011143,0.037513818,post_freeze_velocity_readout_no_refit
NGC2976,C,1.29,0.568282,0.521934,67.800000000,49.930820642,0.725000000,69.167696421,63.877555582,0.019971744,0.059594138,0.039622394,post_freeze_velocity_readout_no_refit
NGC2976,C,1.35,0.594714,0.551881,69.800000000,52.523735587,0.725000000,72.073101959,66.697026207,0.032046899,0.045473642,0.013426743,post_freeze_velocity_readout_no_refit
NGC2976,C,1.42,0.625551,0.580469,71.700000000,55.245825634,0.725000000,75.166950329,69.688641038,0.047220896,0.028453412,-0.018767484,post_freeze_velocity_readout_no_refit
NGC2976,C,1.49,0.656388,0.606142,74.100000000,57.829067950,0.725000000,78.116162503,72.537211501,0.052781449,0.021315840,-0.031465609,post_freeze_velocity_readout_no_refit
NGC2976,C,1.56,0.687225,0.629259,76.700000000,60.289652512,0.725000000,80.937746455,75.259520620,0.053778589,0.018959293,-0.034819296,post_freeze_velocity_readout_no_refit
NGC2976,C,1.63,0.718062,0.640708,79.900000000,62.185613690,0.725000000,83.236150042,77.447252545,0.040905896,0.031178760,-0.009727136,post_freeze_velocity_readout_no_refit
NGC2976,C,1.74,0.76652,0.639873,83.600000000,64.207763939,0.725000000,85.961198272,79.979003831,0.027852491,0.044279372,0.016426881,post_freeze_velocity_readout_no_refit
NGC2976,C,1.93,0.85022,0.552641,83.900000000,62.844321939,0.725000000,86.214959506,79.788034175,0.027218093,0.050252068,0.023033975,post_freeze_velocity_readout_no_refit
NGC2976,C,2.1,0.92511,0.480937,88.700000000,61.153244395,0.725000000,85.913571489,79.104481538,0.031918081,0.114490360,0.082572278,post_freeze_velocity_readout_no_refit
NGC2976,C,2.27,1,0.428763,85.300000000,60.032660278,0.725000000,86.045868431,78.892236189,0.008706053,0.078091632,0.069385579,post_freeze_velocity_readout_no_refit
NGC3109,C,0.26,0.0403101,0.0050525,6.100000000,2.205493142,0.850000000,6.407946256,5.777578289,0.049250052,0.054304157,0.005054106,post_freeze_velocity_readout_no_refit
NGC3109,C,0.52,0.0806202,0.00814394,11.200000000,3.959905302,0.850000000,10.829125991,9.798742888,0.033674423,0.133659678,0.099985254,post_freeze_velocity_readout_no_refit
NGC3109,C,0.77,0.11938,0.0157903,14.900000000,6.709761546,0.850000000,16.768026217,15.259286516,0.118112659,0.023827057,-0.094285602,post_freeze_velocity_readout_no_refit
NGC3109,C,1.03,0.15969,0.0208883,19.100000000,8.925561607,0.850000000,21.422473531,19.547936742,0.114752201,0.023181408,-0.091570793,post_freeze_velocity_readout_no_refit
NGC3109,C,1.29,0.2,0.0259737,24.300000000,11.138529975,0.850000000,25.880069714,23.668838753,0.062996813,0.026316988,-0.036679825,post_freeze_velocity_readout_no_refit
NGC3109,C,1.55,0.24031,0.0295996,29.800000000,13.033909621,0.850000000,29.687325399,27.189313033,0.003788193,0.091684401,0.087896208,post_freeze_velocity_readout_no_refit
NGC3109,C,1.81,0.28062,0.0322988,34.300000000,14.712909298,0.850000000,33.063214802,30.310668976,0.036724025,0.123645592,0.086921567,post_freeze_velocity_readout_no_refit
NGC3109,C,2.06,0.31938,0.0336365,38.200000000,16.017879073,0.850000000,35.769230981,32.806528195,0.065747462,0.152207990,0.086460528,post_freeze_velocity_readout_no_refit
NGC3109,C,2.32,0.35969,0.0329486,42.500000000,16.823960592,0.850000000,37.690392832,34.560427996,0.120098846,0.206794748,0.086695902,post_freeze_velocity_readout_no_refit
NGC3109,C,2.58,0.4,0.0316929,42.300000000,17.400288791,0.850000000,39.217308755,35.944755760,0.075668887,0.162803888,0.087135002,post_freeze_velocity_readout_no_refit
NGC3109,C,2.84,0.44031,0.0304865,47.300000000,17.905178022,0.850000000,40.597857602,37.193955665,0.152794999,0.240364030,0.087569031,post_freeze_velocity_readout_no_refit
NGC3109,C,3.1,0.48062,0.0295127,49.300000000,18.405654023,0.850000000,41.941465671,38.411093924,0.161649109,0.249577759,0.087928650,post_freeze_velocity_readout_no_refit
NGC3109,C,3.35,0.51938,0.0291642,50.600000000,19.020139327,0.850000000,43.420728610,39.760640217,0.153014631,0.241074093,0.088059461,post_freeze_velocity_readout_no_refit
NGC3109,C,3.61,0.55969,0.028654,53.000000000,19.570945302,0.850000000,44.799005759,41.014796690,0.168105967,0.256359017,0.088253050,post_freeze_velocity_readout_no_refit
NGC3109,C,3.87,0.6,0.0263124,54.700000000,19.417861623,0.850000000,45.028610882,41.186998493,0.194565624,0.283741073,0.089175449,post_freeze_velocity_readout_no_refit
NGC3109,C,4.13,0.64031,0.0241861,55.200000000,19.231983777,0.850000000,45.166605419,41.276412172,0.200604958,0.290671750,0.090066793,post_freeze_velocity_readout_no_refit
NGC3109,C,4.38,0.67907,0.0234995,57.500000000,19.522367940,0.850000000,46.046264429,42.067679956,0.222138308,0.312505199,0.090366891,post_freeze_velocity_readout_no_refit
NGC3109,C,4.64,0.71938,0.0229304,59.100000000,19.848657385,0.850000000,46.987066600,42.916305218,0.229358539,0.319979096,0.090620556,post_freeze_velocity_readout_no_refit
NGC3109,C,4.9,0.75969,0.0225981,61.200000000,20.248843177,0.850000000,48.038455927,43.870014014,0.242145334,0.332916155,0.090770821,post_freeze_velocity_readout_no_refit
NGC3109,C,5.16,0.8,0.022264,62.700000000,20.624940000,0.850000000,49.038877268,44.776786678,0.245748050,0.336671597,0.090923547,post_freeze_velocity_readout_no_refit
NGC3109,C,5.42,0.84031,0.0223354,64.400000000,21.172002739,0.850000000,50.315728854,45.944169936,0.246795904,0.337686671,0.090890767,post_freeze_velocity_readout_no_refit
NGC3109,C,5.67,0.87907,0.022403,66.600000000,21.687555187,0.850000000,51.517872349,47.043324775,0.256775794,0.347635597,0.090859803,post_freeze_velocity_readout_no_refit
NGC3109,C,5.93,0.91938,0.0214882,66.300000000,21.721695376,0.850000000,51.917986172,47.388542553,0.244524613,0.335809416,0.091284803,post_freeze_velocity_readout_no_refit
NGC3109,C,6.19,0.95969,0.0202434,66.200000000,21.540337741,0.850000000,51.937811825,47.378190713,0.242633386,0.334518452,0.091885065,post_freeze_velocity_readout_no_refit
NGC3109,C,6.45,1,0.0191089,67.300000000,21.363059238,0.850000000,51.945361495,47.358016156,0.258967811,0.351424136,0.092456325,post_freeze_velocity_readout_no_refit
NGC3198,A,0.32,0.00725953,1.68975,24.400000000,44.745717113,1.050000000,52.234018427,52.608433493,0.761150844,0.768293307,0.007142463,post_freeze_velocity_readout_no_refit
NGC3198,A,0.64,0.0145191,1.14478,43.300000000,52.085485502,1.050000000,63.857681407,64.446291203,0.388504244,0.397679547,0.009175303,post_freeze_velocity_readout_no_refit
NGC3198,A,0.96,0.0217786,0.877407,45.500000000,55.847293578,1.050000000,71.140701697,71.905372103,0.446947304,0.457638652,0.010691348,post_freeze_velocity_readout_no_refit
NGC3198,A,1.28,0.0290381,0.721531,58.500000000,58.478778202,1.050000000,76.785783166,77.701133414,0.271992754,0.283843090,0.011850336,post_freeze_velocity_readout_no_refit
NGC3198,A,1.61,0.0365245,0.594902,68.800000000,59.552722020,1.050000000,80.695219852,81.752344744,0.159475595,0.172490746,0.013015151,post_freeze_velocity_readout_no_refit
NGC3198,A,1.93,0.043784,0.483965,76.900000000,58.810049736,1.050000000,82.532005968,83.718103779,0.070680293,0.084949371,0.014269079,post_freeze_velocity_readout_no_refit
NGC3198,A,2.24,0.0508167,0.45667,82.000000000,61.544779632,1.050000000,87.244711056,88.529707627,0.061997694,0.076618928,0.014621234,post_freeze_velocity_readout_no_refit
NGC3198,A,2.57,0.0583031,0.415248,86.900000000,62.861685867,1.050000000,90.610486391,91.997926417,0.041811918,0.057008006,0.015196088,post_freeze_velocity_readout_no_refit
NGC3198,A,2.89,0.0655626,0.369744,97.600000000,62.902108868,1.050000000,92.556966913,94.039709815,0.053053180,0.037160356,-0.015892824,post_freeze_velocity_readout_no_refit
NGC3198,A,3.21,0.0728221,0.370086,100.000000000,66.323890492,1.050000000,97.575814938,99.138411160,0.024540521,0.008653220,-0.015887301,post_freeze_velocity_readout_no_refit
NGC3198,A,3.54,0.0803085,0.3908,107.000000000,71.572285837,1.050000000,104.280666799,105.916085847,0.025742851,0.010181697,-0.015561154,post_freeze_velocity_readout_no_refit
NGC3198,A,3.85,0.0873412,0.41313,113.000000000,76.743143342,1.050000000,110.719483549,112.418300560,0.020387991,0.005161078,-0.015226913,post_freeze_velocity_readout_no_refit
NGC3198,A,4.17,0.0946007,0.432207,117.000000000,81.692046430,1.050000000,116.926169979,118.687876156,0.000631225,0.014323223,0.013691998,post_freeze_velocity_readout_no_refit
NGC3198,A,4.5,0.102087,0.43635,119.000000000,85.268721991,1.050000000,121.841302254,123.669931267,0.023595904,0.038492679,0.014896775,post_freeze_velocity_readout_no_refit
NGC3198,A,4.82,0.109347,0.441883,127.000000000,88.806109587,1.050000000,126.615986825,128.506480686,0.003028306,0.011792250,0.008763943,post_freeze_velocity_readout_no_refit
NGC3198,A,5.15,0.116833,0.440936,132.000000000,91.697439441,1.050000000,130.787456248,132.741957088,0.009228388,0.005605149,-0.003623240,post_freeze_velocity_readout_no_refit
NGC3198,A,5.46,0.123866,0.440994,134.000000000,94.423126669,1.050000000,134.671983219,136.684426047,0.005002268,0.019835009,0.014832741,post_freeze_velocity_readout_no_refit
NGC3198,A,5.78,0.131125,0.438195,137.000000000,96.841919384,1.050000000,138.276009817,140.347714339,0.009270833,0.024142091,0.014871258,post_freeze_velocity_readout_no_refit
NGC3198,A,6.1,0.138385,0.434188,140.000000000,99.030629858,1.050000000,141.629203723,143.759132416,0.011569978,0.026496785,0.014926807,post_freeze_velocity_readout_no_refit
NGC3198,A,6.43,0.145871,0.427286,142.000000000,100.862695532,1.050000000,144.656018964,146.845685135,0.018531583,0.033555217,0.015023633,post_freeze_velocity_readout_no_refit
NGC3198,A,6.74,0.152904,0.411349,144.000000000,101.321390140,1.050000000,146.290795246,148.539265501,0.015783089,0.031036038,0.015252948,post_freeze_velocity_readout_no_refit
NGC3198,A,7.06,0.160163,0.386265,146.000000000,100.487206648,1.050000000,146.713742543,149.025069338,0.004876737,0.020507921,0.015631184,post_freeze_velocity_readout_no_refit
NGC3198,A,8.04,0.182396,0.318205,147.000000000,97.330176718,1.050000000,147.131979150,149.622069271,0.000897415,0.017679990,0.016782575,post_freeze_velocity_readout_no_refit
NGC3198,A,9.04,0.205082,0.267502,148.000000000,94.626703155,1.050000000,147.621769114,150.271522412,0.002558885,0.015231533,0.012672648,post_freeze_velocity_readout_no_refit
NGC3198,A,10.04,0.227768,0.235784,152.000000000,93.624502135,1.050000000,149.458045467,152.249722634,0.016864800,0.001641564,-0.015223236,post_freeze_velocity_readout_no_refit
NGC3198,A,11.04,0.250454,0.214192,155.000000000,93.573344762,1.050000000,152.017952424,154.940182807,0.019426495,0.000385992,-0.019040503,post_freeze_velocity_readout_no_refit
NGC3198,A,12.05,0.273367,0.195357,156.000000000,93.362799337,1.050000000,154.244096707,157.288161575,0.011319616,0.008223540,-0.003096076,post_freeze_velocity_readout_no_refit
NGC3198,A,14.05,0.318739,0.156946,157.000000000,90.360597608,1.050000000,155.343368246,158.592506778,0.010607860,0.010092257,-0.000515603,post_freeze_velocity_readout_no_refit
NGC3198,A,16.07,0.364564,0.120713,153.000000000,84.752162804,1.050000000,152.739469349,156.138834676,0.001704266,0.020307656,0.018603390,post_freeze_velocity_readout_no_refit
NGC3198,A,18.13,0.411298,0.0973667,153.000000000,80.848145310,1.050000000,151.346627677,154.871551795,0.010865168,0.012158154,0.001292986,post_freeze_velocity_readout_no_refit
NGC3198,A,20.05,0.454855,0.0839546,154.000000000,78.948773898,1.050000000,151.653824327,155.289076848,0.015352150,0.008335789,-0.007016361,post_freeze_velocity_readout_no_refit
NGC3198,A,22.12,0.501815,0.0716193,153.000000000,76.590229142,1.050000000,151.189277838,154.919230273,0.011905374,0.012465965,0.000560591,post_freeze_velocity_readout_no_refit
NGC3198,A,24.03,0.545145,0.0621705,150.000000000,74.376362845,1.050000000,150.370269151,154.169964466,0.002465419,0.027420365,0.024954946,post_freeze_velocity_readout_no_refit
NGC3198,A,26.1,0.592105,0.0551277,149.000000000,72.991290919,1.050000000,150.554414483,154.432570661,0.010378271,0.035811259,0.025432988,post_freeze_velocity_readout_no_refit
NGC3198,A,28.16,0.638838,0.0497482,148.000000000,72.022981749,1.050000000,151.086878049,155.040072864,0.020642749,0.046471344,0.025828595,post_freeze_velocity_readout_no_refit
NGC3198,A,30.08,0.682396,0.0443929,146.000000000,70.317185311,1.050000000,150.262209268,154.259460466,0.028775208,0.055029371,0.026254163,post_freeze_velocity_readout_no_refit
NGC3198,A,32.14,0.729129,0.0392396,147.000000000,68.336227947,1.050000000,148.942972332,152.973309551,0.013130910,0.039830872,0.026699962,post_freeze_velocity_readout_no_refit
