Survey,ExternalName,CanonicalSPARCNameCandidate,CanonicalizationMode,AmapAvailable,AvelAvailable,AlreadyInWTauEffSeed,ExpansionStatus,PreScorePriority,RequiredNextAudit,ExclusionReason,InterpretationGuardrail
VIVA,NGC4689,NGC4689,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4698,NGC4698,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4713,NGC4713,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4772,NGC4772,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
VIVA,NGC4808,NGC4808,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC2537,NGC2537,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC2541,NGC2541,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC3198,NGC3198,survey_name_as_canonical_candidate,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4062,NGC4062,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4244,NGC4244,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4258,NGC4258,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4274,NGC4274,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4414,NGC4414,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4448,NGC4448,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4559,NGC4559,survey_name_as_canonical_candidate,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4565,NGC4565,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC4631,NGC4631,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC5023,NGC5023,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC5055,NGC5055,survey_name_as_canonical_candidate,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC5229,NGC5229,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,NGC5585,NGC5585,survey_name_as_canonical_candidate,yes,yes,yes,already_in_frozen_seed,high,none_existing_seed,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,UGC4278,UGC4278,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
HALOGAS,UGC7774,UGC7774,survey_name_as_canonical_candidate,yes,yes,no,predeclared_candidate_pending_sparc_rotmod_audit,high,sparc_rotmod_availability_and_minimum_radial_points,,reynolds2020_seed_expansion_freeze_no_directional_readout
