Survey,ExternalName,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,A1_inner,A2_outer,Avel,Source,AllowedUse,InterpretationGuardrail
LVHIS,LVHIS056,-2.040000000,6.900000000,0,2,0.182000000,1.010000000,1.100000000,0.190000000,0.220000000,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS057,-1.880000000,8.600000000,0,3,0.160000000,1.130000000,,0.220000000,0.240000000,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS058,-2.050000000,7.900000000,0,0,0.278000000,1.130000000,,,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS059,-2.040000000,8.700000000,1,1,0.208000000,1.010000000,,0.070000000,0.110000000,0.100000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS060,-2.010000000,7.100000000,1,5,0.118000000,1.060000000,1.000000000,0.100000000,0.130000000,0.200000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS061,-2.030000000,,0,,0.362000000,1.060000000,,0.070000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS062,-1.850000000,7.600000000,2,,0.152000000,1.150000000,,0.100000000,0.120000000,0.170000000,0.039000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS063,-1.750000000,8.900000000,0,4,0.194000000,1.040000000,,0.180000000,0.190000000,0.320000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS064,-1.960000000,,1,,0.258000000,1.160000000,,0.080000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS065,-1.960000000,8.200000000,4,4,0.260000000,1.350000000,,0.110000000,0.100000000,0.170000000,0.050000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS066,-1.780000000,10.100000000,1,25,0.202000000,1.140000000,1.160000000,0.270000000,0.400000000,0.500000000,0.049000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS067,-1.790000000,7.500000000,1,4,0.220000000,1.030000000,,0.070000000,0.090000000,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS068,-1.850000000,7.800000000,0,,0.182000000,1.210000000,,0.050000000,0.150000000,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS069,-1.620000000,7.800000000,0,,0.166000000,1.130000000,1.020000000,0.050000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS070,-1.910000000,8.000000000,2,30,0.402000000,1.270000000,,0.070000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS071,-1.880000000,8.900000000,1,3,0.110000000,1.070000000,,0.190000000,0.170000000,0.290000000,0.051000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS072,-1.880000000,9.000000000,2,1,0.198000000,1.100000000,1.030000000,0.060000000,0.180000000,,0.017000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS073,-1.830000000,6.900000000,0,,0.206000000,1.000000000,,0.140000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
